feature_set,cv_accuracy,cv_balanced_accuracy,cv_f1,best_C,best_class_weight,selected
extended,0.8561,0.8353,0.7812,10.0,balanced,True
core,0.8559,0.8347,0.7805,10.0,balanced,False
